@relation 'mydata-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R39-weka.filters.unsupervised.attribute.NumericToNominal-R11-38-weka.filters.unsupervised.attribute.Remove-R2,12,14-15,21-23,26-28,30,33-34'

@attribute ratingCount numeric
@attribute year numeric
@attribute type {'',game,video.episode,video.movie,video.tv}
@attribute nrOfWins numeric
@attribute nrOfNominations numeric
@attribute nrOfPhotos numeric
@attribute nrOfNewsArticles numeric
@attribute nrOfUserReviews numeric
@attribute nrOfGenre numeric
@attribute Action {0,1}
@attribute Adventure {0,1}
@attribute Comedy {0,1}
@attribute Crime {0,1}
@attribute Documentary {0,1}
@attribute Drama {0,1}
@attribute Family {0,1}
@attribute History {0,1}
@attribute Horror {0,1}
@attribute News {0,1}
@attribute Romance {0,1}
@attribute SciFi {0,1}
@attribute TalkShow {0,1}
@attribute Thriller {0,1}
@attribute War {0,1}
@attribute Western {0,1}
@attribute imdbRating {'\'(-inf-2.5]\'','\'(2.5-5.0]\'','\'(5.0-7.5]\'','\'(7.5-inf)\''}

@data
229323,1954,video.movie,6,6,98,711,580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
172690,1954,video.movie,4,5,33,576,548,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
35143,1954,video.movie,10,4,25,108,108,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
47739,1955,video.movie,1,0,42,152,322,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
47740,1956,video.movie,0,0,21,59,304,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
293725,1957,video.movie,16,6,31,68,726,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
109972,1957,video.movie,24,5,59,160,243,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,'\'(7.5-inf)\''
84945,1957,video.movie,3,2,26,208,313,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,'\'(7.5-inf)\''
80684,1957,video.movie,7,1,28,193,236,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
45457,1957,video.movie,12,2,29,107,130,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
40385,1957,video.movie,3,8,23,32,172,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
55474,1958,video.movie,3,1,28,211,245,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
176267,1958,video.movie,6,3,106,671,618,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,'\'(7.5-inf)\''
115402,1959,video.movie,20,5,79,193,340,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
166029,1959,video.movie,7,4,85,644,466,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
49996,1959,video.movie,6,3,36,178,159,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
129721,1959,video.movie,12,8,96,546,329,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
77601,1960,video.movie,18,8,36,211,221,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,'\'(7.5-inf)\''
35788,1960,video.movie,8,12,51,350,149,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
296676,1960,video.movie,6,5,156,2059,885,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,'\'(7.5-inf)\''
47138,1961,video.movie,15,14,29,130,145,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
28790,1961,video.movie,17,21,30,98,156,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,'\'(7.5-inf)\''
53475,1961,video.movie,4,1,23,144,139,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
140727,1962,video.movie,20,13,91,929,509,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
154978,1962,video.movie,12,12,49,524,407,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
58426,1963,video.movie,14,8,41,22,202,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
120161,1963,video.movie,4,4,164,309,285,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
92532,1964,video.movie,1,1,71,206,215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,'\'(7.5-inf)\''
25876,1966,video.movie,9,3,11,129,236,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
104305,1965,video.movie,0,0,56,102,201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,'\'(7.5-inf)\''
354997,1966,video.movie,1,0,189,11,684,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,'\'(7.5-inf)\''
40639,1966,video.movie,8,1,21,92,149,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
41330,1966,video.movie,20,18,72,10,213,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
90643,1967,video.movie,5,6,42,229,249,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
161502,1967,video.movie,20,13,94,329,573,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,'\'(7.5-inf)\''
295641,1968,video.movie,12,6,174,28,1568,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,'\'(7.5-inf)\''
111087,1969,video.movie,18,12,51,508,281,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
158065,1968,video.movie,5,4,61,277,518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,'\'(7.5-inf)\''
